track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
Fly - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,3.782,0.467,0.95,-3.728,0.00474,0.462
I'm Alright - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,5.2442166666666665,0.618,0.941,-4.64,0.102,0.261
Revolution - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,3.716666666666667,0.416,0.998,-2.901,0.000839,0.283
Flood - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,3.98955,0.49,0.959,-4.181,0.0647,0.33
Misery,Soul Asylum,1995,Pre-streaming,4.406,0.38,0.643,-8.304,4.859999999999999e-05,0.297
Shut Down,Soul Asylum,1995,Pre-streaming,2.8491166666666667,0.405,0.934,-6.577999999999999,0.00114,0.489
To My Own Devices,Soul Asylum,1995,Pre-streaming,2.8728833333333332,0.615,0.528,-11.105,0.0137,0.365
Hopes Up,Soul Asylum,1995,Pre-streaming,3.856883333333333,0.488,0.848,-7.098,0.00143,0.682
Promises Broken,Soul Asylum,1995,Pre-streaming,3.243116666666667,0.472,0.475,-11.115,0.138,0.718
Bittersweetheart,Soul Asylum,1995,Pre-streaming,3.5766666666666667,0.581,0.759,-7.417000000000003,0.000249,0.926
String of Pearls,Soul Asylum,1995,Pre-streaming,4.9222166666666665,0.4529999999999999,0.589,-9.775,0.0122,0.337
Crawl,Soul Asylum,1995,Pre-streaming,4.00955,0.435,0.636,-10.218,0.00101,0.31
Caged Rat,Soul Asylum,1995,Pre-streaming,3.0511166666666667,0.555,0.696,-10.09,0.018,0.494
